>> OverHorizonProfiles
Stn 1, 2.8 GHz, 139.47 km, 12 mr, SHANGHAI      [SHAN] - CHANGZHOU     [CHAN], calculated dist = 139.3858 km, error = -0.084234 km
Stn 2, 2.8 GHz, 219.13 km, 21 mr, BEIJING       [BEIJ] - GAOCHENG      [GAOC], calculated dist = 218.9915 km, error = -0.13852 km
Stn 3, 2.8 GHz, 228.54 km, 26 mr, SHANGHAI      [SHAN] - NANJING       [NANJ], calculated dist = 228.3971 km, error = -0.14293 km
Stn 209, 0.56 GHz, 157.75 km, 18.96 mr, COLUMBUS GA   [COLU] - POWDER SPRINGS[POWD], no coordinates provided -> ##### NO PROFILE #####
Stn 229, 0.76 GHz, 158.78 km, 11.2 mr, READING PA    [READ] - LAUREL MD     [LAUR], no coordinates provided -> ##### NO PROFILE #####
Stn 316, 1.05 GHz, 365.6 km, 28.44 mr, CHEYENNE MT CO[CHM ] - GARDEN CITY KA[GCY ], calculated dist = 364.7816 km, error = -0.8184 km
Stn 317, 1.05 GHz, 365.6 km, 30.55 mr, CHEYENNE MT CO[CHM ] - GARDEN CITY KA[GCY ], calculated dist = 364.7816 km, error = -0.8184 km
Stn 429, 1.05 GHz, 382.7 km, 23.32 mr, PIKES PEAK CO [PIKE] - GARDEN CITY KA[GCY ], calculated dist = 381.8759 km, error = -0.82411 km
Stn 466, 0.54 GHz, 186.48 km, 19.34 mr, BRIDGEPORT CN [BRID] - MILLIS MA     [MILL], no coordinates provided -> ##### NO PROFILE #####
Stn 467, 0.54 GHz, 155.61 km, 7.29 mr, BRIDGEPORT CN [BRID] - PRINCETON NJ  [PRIN], no coordinates provided -> ##### NO PROFILE #####
Stn 480, 0.92 GHz, 402 km, 58.4 mr, LEXINGTON MA  [LEXI] - SYRACUSE NY   [SYRA], calculated dist = 400.8127 km, error = -1.1873 km
Stn 570, 0.51 GHz, 155.47 km, 90.59 mr, NORTH ADAMS MA[NORT] - MILLIS MA     [MILL], no coordinates provided -> ##### NO PROFILE #####
Stn 577, 0.54 GHz, 207.09 km, 47.26 mr, FRESNO CA     [FRES] - LIVERMORE CA  [LIVE], no coordinates provided -> ##### NO PROFILE #####
Stn 578, 0.67 GHz, 207.09 km, 47.26 mr, FRESNO CA     [FRES] - LIVERMORE CA  [LIVE], no coordinates provided -> ##### NO PROFILE #####
Stn 585, 0.56 GHz, 416.86 km, 38.73 mr, WILKES-BARRE  [WILK] - LAUREL MD     [LAUR], no coordinates provided -> ##### NO PROFILE #####
Stn 591, 2.82 GHz, 248.1 km, 27.7 mr, MOORESTOWN NJ [MTW ] - STERLING VA   [STER], calculated dist = 247.6964 km, error = -0.40361 km
Stn 908, 3.67 GHz, 301.87 km, 28.17 mr, CRAWFORD HILL [CRAW] - ROUND HILL MA [ROUN], calculated dist = 301.6799 km, error = -0.19009 km
Stn 1124, 4.11 GHz, 275.1 km, 28.67 mr, PHARSALIA NY  [PHAR] - CRAWFORDS HILL[CRAW], calculated dist = 275.1586 km, error = 0.0586 km
Stn 1132, 0.88 GHz, 298.97 km, 26.55 mr, FLORIDA CITY  [FLOR] - GUANABO       [GUAN], calculated dist = 298.7786 km, error = -0.19138 km
Stn 1438, 2.72 GHz, 345.7 km, 38.21 mr, OTTAWA        [OTTA] - TORONTO       [TORO], calculated dist = 345.0142 km, error = -0.68575 km
Stn 1439, 2.72 GHz, 345.7 km, 38.08 mr, OTTAWA        [OTTA] - OTTAWA        [OTTA], calculated dist = 345.0142 km, error = -0.68575 km
Stn 1440, 0.51 GHz, 276.95 km, 22.74 mr, ST ANTHONY    [STAN] - GANDER        [GAND], calculated dist = 276.7788 km, error = -0.17119 km
Stn 1441, 4.09 GHz, 276.95 km, 22.74 mr, ST ANTHONY    [STAN] - GANDER        [GAND], calculated dist = 276.7788 km, error = -0.17119 km
Stn 1564, 0.86 GHz, 380.12 km, NaN mr, SIDI SLIMANE  [SIDI] - SAN PABLO     [SANP], no coordinates provided -> ##### NO PROFILE #####
Stn 1574, 0.83 GHz, 577.38 km, 35.22 mr, BINIANCOLLA MN[BIBI] - MARRUBIU SARD [MARR], no coordinates provided -> ##### NO PROFILE #####
Stn 1700, 0.95 GHz, 226.97 km, 26.86 mr, WILLIAMS AFB  [WILL] - BLACKTAIL CYN [BLAC], calculated dist = 226.8297 km, error = -0.1403 km
Stn 1701, 0.88 GHz, 226.97 km, 26.86 mr, BLACKTAIL CYN [BLAC] - WILLIAMS AFB  [WILL], calculated dist = 226.8297 km, error = -0.1403 km
Stn 1704, 0.81 GHz, 554 km, 80.14 mr, BENSON AR     [BENS] - ENCINO NM     [ENCI], calculated dist = 553.7704 km, error = -0.22959 km
Stn 1705, 0.81 GHz, 554.12 km, 80.14 mr, BENSON AR     [BENS] - ENCINO NM     [ENCI], calculated dist = 553.7704 km, error = -0.34959 km
Stn 1805, 0.96 GHz, 430.5 km, 81.83 mr, VERONA NY     [VERO] - LIBERTY DAM MD[LIBE], calculated dist = 431.1371 km, error = 0.63712 km
Stn 1903, 9.37 GHz, 306.39 km, 29.76 mr, SANTA BARBARA [SANT] - POINT LOMA CA [PLA ], calculated dist = 306.2003 km, error = -0.18974 km
Stn 1905, 3.41 GHz, 306.39 km, 29.76 mr, SANTA BARBARA [SANT] - POINT LOMA CA [PLA ], calculated dist = 306.2003 km, error = -0.18974 km
Stn 1906, 1.37 GHz, 306.39 km, 29.76 mr, SANTA BARBARA [SANT] - POINT LOMA CA [PLA ], calculated dist = 306.2003 km, error = -0.18974 km
Stn 1907, 1.25 GHz, 306.39 km, 29.76 mr, SANTA BARBARA [SANT] - POINT LOMA CA [PLA ], calculated dist = 306.2003 km, error = -0.18974 km
Stn 1908, 9.37 GHz, 227.89 km, 21.36 mr, POINT MUGU CA [PMU ] - POINT LOMA CA [PLA ], calculated dist = 227.7481 km, error = -0.14189 km
Stn 1909, 1.37 GHz, 227.89 km, 21.36 mr, POINT MUGU CA [PMU ] - POINT LOMA CA [PLA ], calculated dist = 227.7481 km, error = -0.14189 km
Stn 1981, 0.57 GHz, 120.83 km, 5.69 mr, CRYSTAL PALACE[CRYS] - BAWDSEY ENG   [BAWD], calculated dist = 120.7493 km, error = -0.080676 km
Stn 1982, 0.57 GHz, 122.14 km, 7 mr, CRYSTAL PALACE[CRYS] - PETERBOROUGH  [PETE], calculated dist = 122.0593 km, error = -0.080729 km
Stn 1983, 0.57 GHz, 147.48 km, 8.15 mr, CRYSTAL PALACE[CRYS] - TACOLNESTON EN[TACO], calculated dist = 147.3838 km, error = -0.096156 km
Stn 1985, 0.63 GHz, 144.19 km, 13.58 mr, SUTTON COLDFLD[SUTT] - HATFIELD ENG  [HATF], calculated dist = 144.0966 km, error = -0.09336 km
Stn 1986, 0.63 GHz, 148.79 km, 10.1 mr, SUTTON COLDFLD[SUTT] - BROOKMANS PARK[BROO], calculated dist = 148.694 km, error = -0.096025 km
Stn 1987, 0.56 GHz, 202.6 km, 17.07 mr, SCHEVENINGEN  [SCH ] - HAPPISBURGH EN[HAP ], calculated dist = 202.4733 km, error = -0.12673 km
Stn 1989, 0.56 GHz, 258.39 km, 26.24 mr, SCHEVENINGEN  [SCH ] - FELTWELL ENG  [FELT], calculated dist = 258.2324 km, error = -0.15758 km
Stn 1990, 0.56 GHz, 316.74 km, 28.64 mr, SCHEVENINGEN  [SCH ] - MORBOURNE HILL[MORB], calculated dist = 316.538 km, error = -0.20198 km
Stn 1991, 0.56 GHz, 356.29 km, 32.54 mr, SCHEVENINGEN  [SCH ] - SKEFFINGTON EN[SKEF], calculated dist = 356.0622 km, error = -0.22776 km
Stn 2032, 0.56 GHz, 273.4 km, 18.43 mr, HOLME MOSS    [HOLM] - KINGSWOOD ENG [KING], calculated dist = 273.226 km, error = -0.17396 km
Stn 2045, 0.56 GHz, 171.06 km, 15.91 mr, PONTOP PIKE EN[PONT] - OTTRINGHAM ENG[OTTR], calculated dist = 170.9534 km, error = -0.10661 km
Stn 2046, 0.56 GHz, 210.46 km, 14.64 mr, PONTOP PIKE EN[PONT] - DORKET HEAD EN[DORK], calculated dist = 210.3311 km, error = -0.12894 km
Stn 2047, 0.56 GHz, 330.69 km, 26.24 mr, PONTOP PIKE EN[PONT] - MURSLEY ENG   [MURS], calculated dist = 330.4826 km, error = -0.20744 km
Stn 2049, 0.56 GHz, 465.63 km, 42.84 mr, PONTOP PIKE EN[PONT] - BEDDINGHAM ENG[BEDD], calculated dist = 465.3384 km, error = -0.29157 km
Stn 2063, 9.64 GHz, 278.8 km, 25.61 mr, START POINT EN[STP ] - WEMBLEY ENG   [WEM ], calculated dist = 278.8264 km, error = 0.026411 km
Stn 2067, 3.48 GHz, 399.5 km, 41.15 mr, START POINT EN[STP ] - WITNESHAM ENG [WITN], calculated dist = 398.2612 km, error = -1.2388 km
Stn 2068, 3.48 GHz, 259.19 km, 30.72 mr, START POINT EN[STP ] - SLOUGH ENG    [SLOU], calculated dist = 259.0238 km, error = -0.16623 km
Stn 2093, 0.09 GHz, 121.69 km, 15.3 mr, PETERBOROUGH  [PETE] - CAVERSHAM ENG [CAVE], calculated dist = 121.6107 km, error = -0.079277 km
Stn 2098, 1.37 GHz, 150.75 km, 19.03 mr, BACKWELL ENG  [BACK] - SLOUGH ENG    [SLOU], calculated dist = 150.6553 km, error = -0.094691 km
Stn 2101, 0.77 GHz, 137.68 km, 14 mr, PONTOP PIKE EN[PONT] - MOORSIDE EDGE [MRE ], calculated dist = 137.5928 km, error = -0.087239 km
Stn 2102, 0.77 GHz, 210.46 km, 14.74 mr, PONTOP PIKE EN[PONT] - DORKET HEAD EN[DORK], calculated dist = 210.3311 km, error = -0.12894 km
Stn 2103, 0.77 GHz, 330.69 km, 26.35 mr, PONTOP PIKE EN[PONT] - MURSLEY ENG   [MURS], calculated dist = 330.4826 km, error = -0.20744 km
Stn 2104, 0.77 GHz, 411.65 km, 38.68 mr, PONTOP PIKE EN[PONT] - KINGSWOOD ENG [KING], calculated dist = 411.3917 km, error = -0.25833 km
Stn 2105, 0.77 GHz, 463.2 km, 42.87 mr, PONTOP PIKE EN[PONT] - BEDDINGHAM ENG[BEDD], calculated dist = 462.9105 km, error = -0.28953 km
Stn 2108, 0.77 GHz, 383.96 km, 42.63 mr, PONTOP PIKE EN[PONT] - SLOUGH ENG    [SLOU], calculated dist = 383.7183 km, error = -0.24168 km
Stn 2110, 0.56 GHz, 368.29 km, 35.35 mr, SCHEVENINGEN  [SCH ] - FLAMBOROUGH HD[FLA ], calculated dist = 368.0575 km, error = -0.23249 km
Stn 2111, 0.56 GHz, 541.99 km, 59.08 mr, SCHEVENINGEN  [SCH ] - NEWTON B.T.SEA[NEW ], calculated dist = 541.6541 km, error = -0.33594 km
Stn 2112, 0.56 GHz, 696.79 km, 80.58 mr, SCHEVENINGEN  [SCH ] - BRIDGE OF DON [BRD ], calculated dist = 696.3536 km, error = -0.43637 km
Stn 2113, 0.56 GHz, 955.07 km, 114.15 mr, SCHEVENINGEN  [SCH ] - LERWICK SHTLDS[LER ], calculated dist = 954.4713 km, error = -0.59867 km
Stn 2115, 0.56 GHz, 504.32 km, 51.43 mr, SCHEVENINGEN  [SCH ] - PONTOP PIKE EN[PONT], calculated dist = 504.0042 km, error = -0.31584 km
Stn 2163, 0.65 GHz, 276.16 km, 33.48 mr, CRYSTAL PALACE[CRYS] - STOKE FLEMING [STOK], calculated dist = 275.9916 km, error = -0.1684 km
Stn 2164, 0.65 GHz, 355.83 km, 31.59 mr, CRYSTAL PALACE[CRYS] - DARLINGTON ENG[DARL], calculated dist = 355.6076 km, error = -0.22244 km
Stn 2186, 0.63 GHz, 236.03 km, 19.16 mr, LOPIK         [LOP ] - ALDEBURGH ENG [ALD ], calculated dist = 235.8863 km, error = -0.14366 km
Stn 2188, 0.86 GHz, 328.3 km, 31.9 mr, GREAT BROMLEY [GBR ] - CATTERICK ENG [CATT], calculated dist = 328.0909 km, error = -0.20909 km
Stn 2193, 0.88 GHz, 499.8 km, 60.46 mr, BELOWDA ENG   [BELO] - WEST BECKHAM E[WESB], calculated dist = 499.4869 km, error = -0.31312 km
Stn 2194, 0.88 GHz, 275.13 km, 29.79 mr, BELOWDA ENG   [BELO] - WIDLEY ENG    [WIDL], calculated dist = 274.954 km, error = -0.176 km
Stn 2212, 2.63 GHz, 151.3 km, 26.95 mr, MALVERN ENG   [MALV] - WEMBLEY ENG   [WEM ], calculated dist = 150.7481 km, error = -0.55186 km
Stn 2213, 2.63 GHz, 151.3 km, 42.77 mr, MALVERN ENG   [MALV] - WEMBLEY ENG   [WEM ], calculated dist = 150.7481 km, error = -0.55186 km
Stn 2233, 1.77 GHz, 287.2 km, 38.71 mr, WAKKANAI      [WAKK] - CHITOSE       [CHIT], calculated dist = 287.2842 km, error = 0.084217 km
Stn 2234, 1.77 GHz, 239.8 km, 25.61 mr, CHITOSE       [CHIT] - MISAWA        [MISA], calculated dist = 240.0395 km, error = 0.2395 km
Stn 2235, 1.77 GHz, 274.5 km, 37.3 mr, MISAWA        [MISA] - SENDAI        [SEND], calculated dist = 274.8454 km, error = 0.34537 km
Stn 2236, 1.77 GHz, 309.8 km, 46.92 mr, SENDAI        [SEND] - FUNCHU        [FUNC], calculated dist = 310.1934 km, error = 0.39344 km
Stn 2240, 1.77 GHz, 349 km, 285 mr, HAKONE        [HAKO] - ROKKO         [ROKK], calculated dist = 348.3396 km, error = -0.66044 km
Stn 2241, 1.77 GHz, 296.5 km, 13.17 mr, ROKKO         [ROKK] - SOFU          [SOFU], calculated dist = 295.9632 km, error = -0.53679 km
Stn 2246, 1.77 GHz, 230.8 km, 23.58 mr, SEBURIYAMA    [SEBU] - CHIRAN        [CHI ], calculated dist = 231.4642 km, error = 0.66418 km
Stn 2272, 0.6 GHz, 309.96 km, 33.86 mr, KOKUBUNJI     [KOKU] - SENDAI        [SEND], calculated dist = 309.7631 km, error = -0.1969 km
Stn 2273, 2.12 GHz, 309.96 km, 33.86 mr, KOKUBUNJI     [KOKU] - SENDAI        [SEND], calculated dist = 309.7631 km, error = -0.1969 km
Stn 2282, 1.31 GHz, 438.32 km, 54.92 mr, MIYAZAKI      [MIYA] - WAKAYAMA      [WAKA], calculated dist = 438.0415 km, error = -0.27851 km
Stn 2283, 3 GHz, 438.32 km, 54.92 mr, MIYAZAKI      [MIYA] - WAKAYAMA      [WAKA], calculated dist = 438.0415 km, error = -0.27851 km
Stn 2297, 1.32 GHz, 426.71 km, 45.92 mr, KAZASHIYAMA   [KAZA] - OSAKA         [OSAK], calculated dist = 426.4407 km, error = -0.26927 km
Stn 2304, 0.6 GHz, 344.7 km, 42.26 mr, KOKUBUNJI     [KOKU] - FURUKAWA      [FURU], calculated dist = 344.4881 km, error = -0.21185 km
Stn 2305, 0.6 GHz, 225.67 km, 21.54 mr, KOKUBUNJI     [KOKU] - NIHONMATSU    [NIHO], calculated dist = 225.5304 km, error = -0.13962 km
Stn 2306, 2.12 GHz, 344.7 km, 42.55 mr, KOKUBUNJI     [KOKU] - FURUKAWA      [FURU], calculated dist = 344.4881 km, error = -0.21185 km
